site_name,download_date,source_description,lat,lon,firstyear,finalyear,Mean_Annual_Salinity_ppt,Mean_max_Salinity_ppt,Mean_min_Salinity_ppt,Salinity_st_dev,Salinity_n,Salinity_years,collection_type,Site_Order,Quality_Check,3_years_data,6_months_data,1_daily_measure,10_years_recent
NJ1,8/18/23,Delaware Water Quality - CEMA at University of Delaware,39.085,-75.186,2005,2022,22.70900662,26.79222222,17.39444444,4.247331359,151,18,monthly,28_NJ,FALSE,TRUE,TRUE,FALSE,TRUE
NJ2,8/18/23,Delaware Water Quality - CEMA at University of Delaware,39.455,-75.56,2005,2022,5.849733333,10.04,1.857777778,3.291231782,150,18,monthly,29_NJ,FALSE,TRUE,TRUE,FALSE,TRUE
MD1,8/18/23,"Maryland DNR/Eyes on the Bay - Lower Potomac River, Morgantown Bridge",38.3626,-76.9905,1986,2022,7.706231079,13.49459459,1.44972973,3.462920741,8456,37,weekly_intermittent,27_MD,TRUE,TRUE,TRUE,TRUE,TRUE
FL3,9/13/23,National Parks Service Continuous Water Data - Timucuan Preserve,30.44116,-81.43908,2005,2022,32.35225365,37.20420518,15.42244418,3.715396855,249752,20,continuous,14_FL,TRUE,TRUE,TRUE,TRUE,TRUE
GA2,3/19/24,USGS Water Data Meridian Landing - 022035975,31.45333333,-81.3627778,2007,2022,24.11886211,31.6875,11.45625,5.358950634,495777,16,continuous,16_GA,TRUE,TRUE,TRUE,TRUE,TRUE
GA4,3/20/24,National Parks Service Continuous Water Data - Fort Pulaski NM - Lazaretto Creek Dock,32.01414,-80.88412,2006,2022,23.10241328,33.33755517,9.56854204,4.642879576,234596,18,continuous,18_GA,TRUE,TRUE,TRUE,TRUE,TRUE
FL2,3/20/24,NERR Centralized Data. Apalachicola Bay - Cat Point APACPWQ,29.7021,-84.8802,2002,2023,21.42344243,34.74347826,1.895652174,7.928732351,635220,23,continuous,13_FL,TRUE,TRUE,TRUE,TRUE,TRUE
FL1,3/20/24,NERR Centralized Data. Apalachicola Bay - Dry Bar APADBWQ,29.6747,-85.0583,2002,2023,21.33549094,36.23478261,1.87826087,8.119103109,601948,23,continuous,12_FL,TRUE,TRUE,TRUE,TRUE,TRUE
VA2,9/22/23,National Parks Service Continuous Water Data - Jamestown Island and Chesapeake Monitoring Coop/NERR/VIMS,37.21462,-76.4483,2010,2022,7.75733945,12.15,2.642857143,3.479401702,218,14,intermittent,25_VA,FALSE,TRUE,FALSE,FALSE,TRUE
VA1,9/15/23,VIMS Water Quality Data,37.060283,-76.572217,2010,2022,15.05454545,19.71428571,8.4,3.756033475,220,14,intermittent,24_VA,FALSE,TRUE,FALSE,FALSE,TRUE
MA1,3/21/24,PIELTER Long-Term Montitoring Data,42.762543,-70.857724,2014,2022,22.36831402,31.09428571,5.284285714,7.347533235,72990,7,continuous_seasonal,34_MA,TRUE,TRUE,TRUE,TRUE,TRUE
ME2,3/21/24,University of Maine,43.986,-69.55,2015,2023,29.47828304,31.50428571,8.741428571,2.277877961,26314,7,intermittent,37_ME,TRUE,TRUE,TRUE,TRUE,TRUE
CN1,3/25/24,Nova Scotia Gov Water Quality Data,43.79075,-65.83619,2020,2021,26.91323539,31.73333333,17.3,3.494291949,104893,3,continuous,38_CN,TRUE,TRUE,TRUE,TRUE,TRUE
ME1,3/25/24,University of Maine,43.86457,-69.89763,2015,2022,31.24049971,42.055,7.4475,1.59619422,13688,4,intermittent,36_ME,TRUE,TRUE,TRUE,TRUE,TRUE
CN3,3/27/24,Prince Edward Island Oyster Monitoring and Government,46.1257,-62.9055,1986,2022,23.60087963,26.774,18.1364,6.958553155,216,25,intermittent,40_CN,FALSE,TRUE,FALSE,FALSE,TRUE
LA1,3/27/24,Water Data For Texas - Lower Sabine,29.758,-93.89,1990,2022,13.63909662,30.87521506,1.4121019,7.63580412,211620,32,continuous,5_LA,TRUE,TRUE,TRUE,TRUE,TRUE
CT1,3/27/24,"USGS Water Data  - Housatonic River NR Nells Island NR Stratford, CT - 01208837",41.1884333,-73.12125278,2020,2023,13.74925403,28.75,0.5,9.614093676,60726,4,continuous,30_CT,TRUE,TRUE,TRUE,TRUE,TRUE
VA3,3/29/24,VIMS Eastern Shore Laboratory: Custis Channel/Wachapreague,37.60769,-75.6858,2016,2022,30.05792658,33.06285714,11.80285714,2.225725405,135848,7,continuous,26_VA,TRUE,TRUE,TRUE,TRUE,TRUE
CT2,3/27/24,"NOAA Fisheries, Northeast Fisehries Science Center",41.271986,-72.586128,2023,2023,24.15025576,29.683235,0.04694429,5.345702907,2746,1,continuous_seasonal,31_CT,FALSE,FALSE,FALSE,FALSE,TRUE
RI1,4/11/24,University of Rhode Island and Narrow River Watershed Watch,41.502709,-71.450436,2015,2021,19.2314951,25.1875,10.875,4.397305627,408,8,intermittent_seasonal,32_RI,FALSE,TRUE,FALSE,FALSE,TRUE
GA3,4/18/24,Biological and Chemical Oceanography Data Management Office,31.9863317,-81.0052642,2013,2015,26.15427864,30.71770026,1.958482138,3.902788916,302091,3,continuous,17_GA,TRUE,TRUE,TRUE,TRUE,TRUE
