OBJECTID,Station_Name,Depth,Parameter,Concentration,Unit,Monitoring_Location,Date_of_Sample
87,WW01,,"Depth to bottom from water surface at sampling location, meters - 82903",3.4,m,Alton Pond,2019/08/24 00:00:00+00
88,WW01,,Secchi Depth - 00069,2.25,m,Alton Pond,2019/08/24 00:00:00+00
89,WW01,0.1,Temperature - 00011,24.7,C,Alton Pond,2019/08/24 00:00:00+00
90,WW01,1,Temperature - 00011,23.5,C,Alton Pond,2019/08/24 00:00:00+00
91,WW01,,"Depth to bottom from water surface at sampling location, meters - 82903",3.2,m,Alton Pond,2019/09/01 00:00:00+00
92,WW01,,Secchi Depth - 00069,2.25,m,Alton Pond,2019/09/01 00:00:00+00
93,WW01,0.1,Temperature - 00011,21.9,C,Alton Pond,2019/09/01 00:00:00+00
94,WW01,1,Temperature - 00011,21.7,C,Alton Pond,2019/09/01 00:00:00+00
95,WW01,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",1.3,ug/l,Alton Pond,2019/09/08 00:00:00+00
96,WW01,,"Depth to bottom from water surface at sampling location, meters - 82903",3.5,m,Alton Pond,2019/09/08 00:00:00+00
97,WW01,,Secchi Depth - 00069,2.4,m,Alton Pond,2019/09/08 00:00:00+00
98,WW01,0.1,Temperature - 00011,19.7,C,Alton Pond,2019/09/08 00:00:00+00
99,WW01,1,Temperature - 00011,19.5,C,Alton Pond,2019/09/08 00:00:00+00
100,WW01,,"Depth to bottom from water surface at sampling location, meters - 82903",3.1,m,Alton Pond,2019/09/15 00:00:00+00
101,WW01,,Secchi Depth - 00069,2.55,m,Alton Pond,2019/09/15 00:00:00+00
102,WW01,0.1,Temperature - 00011,20,C,Alton Pond,2019/09/15 00:00:00+00
103,WW01,1,Temperature - 00011,19.7,C,Alton Pond,2019/09/15 00:00:00+00
104,WW01,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",0.9,ug/l,Alton Pond,2019/09/22 00:00:00+00
105,WW01,,"Depth to bottom from water surface at sampling location, meters - 82903",3.4,m,Alton Pond,2019/09/22 00:00:00+00
106,WW01,,Secchi Depth - 00069,2.42,m,Alton Pond,2019/09/22 00:00:00+00
107,WW01,0.1,Temperature - 00011,18.1,C,Alton Pond,2019/09/22 00:00:00+00
108,WW01,1,Temperature - 00011,18.3,C,Alton Pond,2019/09/22 00:00:00+00
109,WW01,,"Depth to bottom from water surface at sampling location, meters - 82903",3.5,m,Alton Pond,2019/09/28 00:00:00+00
110,WW01,,Secchi Depth - 00069,2.65,m,Alton Pond,2019/09/28 00:00:00+00
111,WW01,0.1,Temperature - 00011,18.4,C,Alton Pond,2019/09/28 00:00:00+00
112,WW01,1,Temperature - 00011,19.3,C,Alton Pond,2019/09/28 00:00:00+00
113,WW01,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",0.8,ug/l,Alton Pond,2019/10/06 00:00:00+00
114,WW01,,"Depth to bottom from water surface at sampling location, meters - 82903",2.8,m,Alton Pond,2019/10/06 00:00:00+00
115,WW01,,Secchi Depth - 00069,2.4,m,Alton Pond,2019/10/06 00:00:00+00
116,WW01,0.1,Temperature - 00011,14.5,C,Alton Pond,2019/10/06 00:00:00+00
117,WW01,1,Temperature - 00011,15,C,Alton Pond,2019/10/06 00:00:00+00
118,WW01,,"Depth to bottom from water surface at sampling location, meters - 82903",3,m,Alton Pond,2019/10/12 00:00:00+00
119,WW01,,Secchi Depth - 00069,1.93,m,Alton Pond,2019/10/12 00:00:00+00
120,WW01,0.1,Temperature - 00011,12.7,C,Alton Pond,2019/10/12 00:00:00+00
121,WW01,1,Temperature - 00011,12.9,C,Alton Pond,2019/10/12 00:00:00+00
122,WW01,1,Alkalinity - 00410,6,mg/l,Alton Pond,2019/10/18 00:00:00+00
123,WW01,1,Chloride - 00940,27,mg/l,Alton Pond,2019/10/18 00:00:00+00
124,WW01,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",1.9,ug/l,Alton Pond,2019/10/18 00:00:00+00
125,WW01,,"Depth to bottom from water surface at sampling location, meters - 82903",3.1,m,Alton Pond,2019/10/18 00:00:00+00
126,WW01,0.5,Enterococci - 31639,164,MPN/100,Alton Pond,2019/10/18 00:00:00+00
127,WW01,1,"Nitrate + Nitrite, Dissolved - 00631",0.065,mg/l,Alton Pond,2019/10/18 00:00:00+00
128,WW01,1,"Nitrogen, Ammonia Dissolved as N - 00608",0.0075,mg/l,Alton Pond,2019/10/18 00:00:00+00
129,WW01,1,"Nitrogen, Total (unfiltered) - 00600",0.38,mg/l,Alton Pond,2019/10/18 00:00:00+00
130,WW01,1,pH - 00400,6.59,S.U.,Alton Pond,2019/10/18 00:00:00+00
131,WW01,1,"Phosphorus, Dissolved - 00666",7,ug/l,Alton Pond,2019/10/18 00:00:00+00
132,WW01,1,"Phosphorus, Total - 00665",22,ug/l,Alton Pond,2019/10/18 00:00:00+00
133,WW01,,Secchi Depth - 00069,1.18,m,Alton Pond,2019/10/18 00:00:00+00
134,WW01,0.1,Temperature - 00011,12.6,C,Alton Pond,2019/10/18 00:00:00+00
135,WW01,1,Temperature - 00011,13.5,C,Alton Pond,2019/10/18 00:00:00+00
136,WW03,1,Alkalinity - 00410,15.45,mg/l,Belleville Pond - Lower,2019/05/11 00:00:00+00
137,WW03,0.5,Chloride - 00940,36,mg/l,Belleville Pond - Lower,2019/05/11 00:00:00+00
138,WW03,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",2.3,ug/l,Belleville Pond - Lower,2019/05/11 00:00:00+00
139,WW03,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",10.6,ug/l,Belleville Pond - Lower,2019/05/11 00:00:00+00
140,WW03,,"Depth to bottom from water surface at sampling location, meters - 82903",2,m,Belleville Pond - Lower,2019/05/11 00:00:00+00
141,WW03,0.5,Enterococci - 31639,1,MPN/100,Belleville Pond - Lower,2019/05/11 00:00:00+00
142,WW03,1,"Nitrate + Nitrite, Dissolved - 00631",0.38,mg/l,Belleville Pond - Lower,2019/05/11 00:00:00+00
143,WW03,1,"Nitrogen, Ammonia Dissolved as N - 00608",0.07,mg/l,Belleville Pond - Lower,2019/05/11 00:00:00+00
144,WW03,1,"Nitrogen, Total (unfiltered) - 00600",0.905,mg/l,Belleville Pond - Lower,2019/05/11 00:00:00+00
145,WW03,1,pH - 00400,6.71,S.U.,Belleville Pond - Lower,2019/05/11 00:00:00+00
146,WW03,1,"Phosphorus, Dissolved - 00666",7,ug/l,Belleville Pond - Lower,2019/05/11 00:00:00+00
147,WW03,1,"Phosphorus, Total - 00665",27,ug/l,Belleville Pond - Lower,2019/05/11 00:00:00+00
148,WW03,,Secchi Depth - 00069,0.92,m,Belleville Pond - Lower,2019/05/11 00:00:00+00
149,WW03,0.1,Temperature - 00011,16,C,Belleville Pond - Lower,2019/05/11 00:00:00+00
150,WW03,1,Temperature - 00011,16,C,Belleville Pond - Lower,2019/05/11 00:00:00+00
151,WW03,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",4.9,ug/l,Belleville Pond - Lower,2019/05/24 00:00:00+00
152,WW03,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",2,ug/l,Belleville Pond - Upper,2019/06/07 00:00:00+00
153,WW03,,"Depth to bottom from water surface at sampling location, meters - 82903",2.3,m,Belleville Pond - Upper,2019/06/07 00:00:00+00
154,WW03,,Secchi Depth - 00069,1.38,m,Belleville Pond - Upper,2019/06/07 00:00:00+00
155,WW03,0.1,Temperature - 00011,22.6,C,Belleville Pond - Upper,2019/06/07 00:00:00+00
156,WW03,1,Temperature - 00011,21.4,C,Belleville Pond - Upper,2019/06/07 00:00:00+00
157,WW03,,"Depth to bottom from water surface at sampling location, meters - 82903",2.2,m,Belleville Pond - Lower,2019/06/14 00:00:00+00
158,WW03,,Secchi Depth - 00069,1.1,m,Belleville Pond - Lower,2019/06/14 00:00:00+00
159,WW03,0.1,Temperature - 00011,20.6,C,Belleville Pond - Lower,2019/06/14 00:00:00+00
160,WW03,1,Temperature - 00011,19.5,C,Belleville Pond - Lower,2019/06/14 00:00:00+00
161,WW03,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",1.9,ug/l,Belleville Pond - Lower,2019/06/21 00:00:00+00
162,WW03,,"Depth to bottom from water surface at sampling location, meters - 82903",2,m,Belleville Pond - Lower,2019/06/21 00:00:00+00
163,WW03,,Secchi Depth - 00069,0.89,m,Belleville Pond - Lower,2019/06/21 00:00:00+00
164,WW03,0.1,Temperature - 00011,21.3,C,Belleville Pond - Lower,2019/06/21 00:00:00+00
165,WW03,1,Temperature - 00011,20.9,C,Belleville Pond - Lower,2019/06/21 00:00:00+00
166,WW03,,"Depth to bottom from water surface at sampling location, meters - 82903",2.6,m,Belleville Pond - Lower,2019/06/29 00:00:00+00
167,WW03,,Secchi Depth - 00069,0.75,m,Belleville Pond - Lower,2019/06/29 00:00:00+00
168,WW03,0.1,Temperature - 00011,25.7,C,Belleville Pond - Lower,2019/06/29 00:00:00+00
169,WW03,1,Temperature - 00011,22.7,C,Belleville Pond - Lower,2019/06/29 00:00:00+00
170,WW03,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",17.4,ug/l,Belleville Pond - Lower,2019/07/05 00:00:00+00
171,WW03,,"Depth to bottom from water surface at sampling location, meters - 82903",2.1,m,Belleville Pond - Lower,2019/07/05 00:00:00+00
172,WW03,,Secchi Depth - 00069,0.85,m,Belleville Pond - Lower,2019/07/05 00:00:00+00
173,WW03,0.1,Temperature - 00011,26.9,C,Belleville Pond - Lower,2019/07/05 00:00:00+00
174,WW03,1,Temperature - 00011,23.9,C,Belleville Pond - Lower,2019/07/05 00:00:00+00
175,WW03,,"Depth to bottom from water surface at sampling location, meters - 82903",2.4,m,Belleville Pond - Lower,2019/07/12 00:00:00+00
176,WW03,,Secchi Depth - 00069,1.02,m,Belleville Pond - Lower,2019/07/12 00:00:00+00
177,WW03,0.1,Temperature - 00011,25.9,C,Belleville Pond - Lower,2019/07/12 00:00:00+00
178,WW03,1,Temperature - 00011,25,C,Belleville Pond - Lower,2019/07/12 00:00:00+00
179,WW03,1,Alkalinity - 00410,18.59,mg/l,Belleville Pond - Lower,2019/07/20 00:00:00+00
180,WW03,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",10.1,ug/l,Belleville Pond - Lower,2019/07/20 00:00:00+00
181,WW03,,"Depth to bottom from water surface at sampling location, meters - 82903",2,m,Belleville Pond - Lower,2019/07/20 00:00:00+00
182,WW03,0.5,Enterococci - 31639,0.1,MPN/100,Belleville Pond - Lower,2019/07/20 00:00:00+00
183,WW03,0.5,"Nitrate + Nitrite, Dissolved - 00631",0.04,mg/l,Belleville Pond - Lower,2019/07/20 00:00:00+00
184,WW03,1,"Nitrogen, Ammonia Dissolved as N - 00608",0.035,mg/l,Belleville Pond - Lower,2019/07/20 00:00:00+00
185,WW03,1,"Nitrogen, Total (unfiltered) - 00600",0.58,mg/l,Belleville Pond - Lower,2019/07/20 00:00:00+00
186,WW03,1,pH - 00400,6.06,S.U.,Belleville Pond - Lower,2019/07/20 00:00:00+00
187,WW03,1,"Phosphorus, Dissolved - 00666",7,ug/l,Belleville Pond - Lower,2019/07/20 00:00:00+00
188,WW03,1,"Phosphorus, Total - 00665",26,ug/l,Belleville Pond - Lower,2019/07/20 00:00:00+00
189,WW03,,Secchi Depth - 00069,1.18,m,Belleville Pond - Lower,2019/07/20 00:00:00+00
190,WW03,0.1,Temperature - 00011,27.6,C,Belleville Pond - Lower,2019/07/20 00:00:00+00
191,WW03,1,Temperature - 00011,24.7,C,Belleville Pond - Lower,2019/07/20 00:00:00+00
192,WW03,,"Depth to bottom from water surface at sampling location, meters - 82903",2.2,m,Belleville Pond - Lower,2019/07/26 00:00:00+00
193,WW03,,Secchi Depth - 00069,1.27,m,Belleville Pond - Lower,2019/07/26 00:00:00+00
194,WW03,0.1,Temperature - 00011,26.3,C,Belleville Pond - Lower,2019/07/26 00:00:00+00
195,WW03,1,Temperature - 00011,23.5,C,Belleville Pond - Lower,2019/07/26 00:00:00+00
196,WW03,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",10.6,ug/l,Belleville Pond - Lower,2019/08/02 00:00:00+00
197,WW03,,"Depth to bottom from water surface at sampling location, meters - 82903",1.4,m,Belleville Pond - Lower,2019/08/02 00:00:00+00
198,WW03,,Secchi Depth - 00069,0.9,m,Belleville Pond - Lower,2019/08/02 00:00:00+00
199,WW03,0.1,Temperature - 00011,26.5,C,Belleville Pond - Lower,2019/08/02 00:00:00+00
200,WW03,1,Temperature - 00011,24.9,C,Belleville Pond - Lower,2019/08/02 00:00:00+00
201,WW03,,"Depth to bottom from water surface at sampling location, meters - 82903",2.2,m,Belleville Pond - Lower,2019/08/09 00:00:00+00
202,WW03,,Secchi Depth - 00069,0.95,m,Belleville Pond - Lower,2019/08/09 00:00:00+00
203,WW03,0.1,Temperature - 00011,25.1,C,Belleville Pond - Lower,2019/08/09 00:00:00+00
204,WW03,1,Temperature - 00011,24.7,C,Belleville Pond - Lower,2019/08/09 00:00:00+00
205,WW03,1,Alkalinity - 00410,17.66,mg/l,Belleville Pond - Lower,2019/08/17 00:00:00+00
206,WW03,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",5.4,ug/l,Belleville Pond - Lower,2019/08/17 00:00:00+00
207,WW03,0.5,Enterococci - 31639,1,MPN/100,Belleville Pond - Lower,2019/08/17 00:00:00+00
208,WW03,1,"Nitrate + Nitrite, Dissolved - 00631",0.0075,mg/l,Belleville Pond - Lower,2019/08/17 00:00:00+00
209,WW03,1,"Nitrogen, Ammonia Dissolved as N - 00608",0.225,mg/l,Belleville Pond - Lower,2019/08/17 00:00:00+00
210,WW03,1,"Nitrogen, Total (unfiltered) - 00600",0.595,mg/l,Belleville Pond - Lower,2019/08/17 00:00:00+00
211,WW03,1,pH - 00400,6.51,S.U.,Belleville Pond - Lower,2019/08/17 00:00:00+00
212,WW03,1,"Phosphorus, Dissolved - 00666",12,ug/l,Belleville Pond - Lower,2019/08/17 00:00:00+00
213,WW03,1,"Phosphorus, Total - 00665",25,ug/l,Belleville Pond - Lower,2019/08/17 00:00:00+00
214,WW03,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",12.6,ug/l,Belleville Pond - Lower,2019/08/31 00:00:00+00
215,WW03,,Secchi Depth - 00069,1.3,m,Belleville Pond - Lower,2019/08/31 00:00:00+00
216,WW03,0.1,Temperature - 00011,22.6,C,Belleville Pond - Lower,2019/08/31 00:00:00+00
217,WW03,1,Temperature - 00011,22.1,C,Belleville Pond - Lower,2019/08/31 00:00:00+00
218,WW03,,"Depth to bottom from water surface at sampling location, meters - 82903",2.2,m,Belleville Pond - Lower,2019/09/06 00:00:00+00
219,WW03,,Secchi Depth - 00069,0.95,m,Belleville Pond - Lower,2019/09/06 00:00:00+00
220,WW03,0.1,Temperature - 00011,21.1,C,Belleville Pond - Lower,2019/09/06 00:00:00+00
221,WW03,1,Temperature - 00011,21,C,Belleville Pond - Lower,2019/09/06 00:00:00+00
222,WW03,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",9.2,ug/l,Belleville Pond - Lower,2019/09/13 00:00:00+00
223,WW03,,"Depth to bottom from water surface at sampling location, meters - 82903",2.4,m,Belleville Pond - Lower,2019/09/13 00:00:00+00
224,WW03,,Secchi Depth - 00069,1.39,m,Belleville Pond - Lower,2019/09/13 00:00:00+00
225,WW03,0.1,Temperature - 00011,19.6,C,Belleville Pond - Lower,2019/09/13 00:00:00+00
226,WW03,1,Temperature - 00011,19.3,C,Belleville Pond - Lower,2019/09/13 00:00:00+00
227,WW03,1,Alkalinity - 00410,17.16,mg/l,Belleville Pond - Lower,2019/09/21 00:00:00+00
228,WW03,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",5,ug/l,Belleville Pond - Lower,2019/09/21 00:00:00+00
229,WW03,,"Depth to bottom from water surface at sampling location, meters - 82903",2.35,m,Belleville Pond - Lower,2019/09/21 00:00:00+00
230,WW03,0.5,Enterococci - 31639,0.1,MPN/100,Belleville Pond - Lower,2019/09/21 00:00:00+00
231,WW03,1,"Nitrate + Nitrite, Dissolved - 00631",0.05,mg/l,Belleville Pond - Lower,2019/09/21 00:00:00+00
232,WW03,1,"Nitrogen, Ammonia Dissolved as N - 00608",0.035,mg/l,Belleville Pond - Lower,2019/09/21 00:00:00+00
233,WW03,1,"Nitrogen, Total (unfiltered) - 00600",0.425,mg/l,Belleville Pond - Lower,2019/09/21 00:00:00+00
234,WW03,1,pH - 00400,6.21,S.U.,Belleville Pond - Lower,2019/09/21 00:00:00+00
235,WW03,1,"Phosphorus, Dissolved - 00666",9,ug/l,Belleville Pond - Lower,2019/09/21 00:00:00+00
236,WW03,1,"Phosphorus, Total - 00665",16,ug/l,Belleville Pond - Lower,2019/09/21 00:00:00+00
237,WW03,,Secchi Depth - 00069,1.68,m,Belleville Pond - Lower,2019/09/21 00:00:00+00
238,WW03,0.1,Temperature - 00011,19.3,C,Belleville Pond - Lower,2019/09/21 00:00:00+00
239,WW03,1,Temperature - 00011,18,C,Belleville Pond - Lower,2019/09/21 00:00:00+00
240,WW03,,"Depth to bottom from water surface at sampling location, meters - 82903",2.15,m,Belleville Pond - Lower,2019/09/27 00:00:00+00
241,WW03,,Secchi Depth - 00069,1.41,m,Belleville Pond - Lower,2019/09/27 00:00:00+00
242,WW03,0.1,Temperature - 00011,20.1,C,Belleville Pond - Lower,2019/09/27 00:00:00+00
243,WW03,1,Temperature - 00011,19.9,C,Belleville Pond - Lower,2019/09/27 00:00:00+00
244,WW03,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",5.1,ug/l,Belleville Pond - Lower,2019/10/05 00:00:00+00
245,WW03,,"Depth to bottom from water surface at sampling location, meters - 82903",2.2,m,Belleville Pond - Lower,2019/10/05 00:00:00+00
246,WW03,,Secchi Depth - 00069,1.3,m,Belleville Pond - Lower,2019/10/05 00:00:00+00
247,WW03,0.1,Temperature - 00011,15.9,C,Belleville Pond - Lower,2019/10/05 00:00:00+00
248,WW03,1,Temperature - 00011,15.7,C,Belleville Pond - Lower,2019/10/05 00:00:00+00
249,WW03,1,Alkalinity - 00410,15.66,mg/l,Belleville Pond - Lower,2019/10/18 00:00:00+00
250,WW03,1,Chloride - 00940,43,mg/l,Belleville Pond - Lower,2019/10/18 00:00:00+00
