Station Name,Date,Time,Sample Type,Sample Media,Depth,Parameter,Concentration,Unit,Qualifier Code,Detection Limit,Detection Limit Unit,Quantitation Level,Quantitation Level Unit,Lab Name,Analytical Method Number,Sediment Particle Size,Particle Size Unit,Fish Sample Type,Fish Taxa,Comments,Location,Watershed Code,Monitor 1,Monitor 2
WW89,8/28/16,11:30:00 AM,Grab,Water,0.5,"Salinity, (ppt) - 00480",22,ppt,,0.4,ppt,0.4,ppt,URIWW,,,,,,State of tide: Flood,NR 03 - Lower Pond A,PE,Eric Kohlsaat,Jennifer Kohlsaat
WW89,8/28/16,11:30:00 AM,Grab,Water,3,"Salinity, (ppt) - 00480",21.5,ppt,,0.4,ppt,0.4,ppt,URIWW,,,,,,State of tide: Flood,NR 03 - Lower Pond A,PE,Eric Kohlsaat,Jennifer Kohlsaat
WW89,9/10/16,8:00:00 AM,Grab,Water,0.5,"Salinity, (ppt) - 00480",21.5,ppt,,0.4,ppt,0.4,ppt,URIWW,,,,,,,NR 03 - Lower Pond A,PE,C.Wakefield,
WW89,9/10/16,8:00:00 AM,Grab,Water,3,"Salinity, (ppt) - 00480",22,ppt,,0.4,ppt,0.4,ppt,URIWW,,,,,,,NR 03 - Lower Pond A,PE,C.Wakefield,
WW89,9/23/16,8:45:00 AM,Grab,Water,0.5,"Salinity, (ppt) - 00480",23.5,ppt,,0.4,ppt,0.4,ppt,URIWW,,,,,,,NR 03 - Lower Pond A,PE,C.Wakefield,
WW89,9/23/16,8:45:00 AM,Grab,Water,3,"Salinity, (ppt) - 00480",23.5,ppt,,0.4,ppt,0.4,ppt,URIWW,,,,,,,NR 03 - Lower Pond A,PE,C.Wakefield,
WW89,10/9/16,9:30:00 AM,Grab,Water,0.5,"Salinity, (ppt) - 00480",24.5,ppt,,0.4,ppt,0.4,ppt,URIWW,,,,,,,NR 03 - Lower Pond A,PE,C.Wakefield,
WW89,10/9/16,9:30:00 AM,Grab,Water,3,"Salinity, (ppt) - 00480",24.5,ppt,,0.4,ppt,0.4,ppt,URIWW,,,,,,,NR 03 - Lower Pond A,PE,C.Wakefield,
WW89,10/21/16,9:15:00 AM,Grab,Water,3,"Salinity, (ppt) - 00480",26.5,ppt,,0.4,ppt,0.4,ppt,URIWW,,,,,,,NR 03 - Lower Pond A,PE,C.Wakefield,
WW91,5/14/16,9:45:00 AM,Grab,Water,0.5,"Salinity, (ppt) - 00480",13.5,ppt,,0.4,ppt,0.4,ppt,URIWW,,,,,,,NR 04 - Lower Pond B,PE,Carol Sarubbi,Felix Sarubbi
WW91,5/29/16,10:45:00 AM,Grab,Water,0.5,"Salinity, (ppt) - 00480",8,ppt,,0.4,ppt,0.4,ppt,URIWW,,,,,,,NR 04 - Lower Pond B,PE,Carol Sarubbi,Felix Sarubbi
WW91,5/29/16,10:45:00 AM,Grab,Water,3,"Salinity, (ppt) - 00480",13,ppt,,0.4,ppt,0.4,ppt,URIWW,,,,,,,NR 04 - Lower Pond B,PE,Carol Sarubbi,Felix Sarubbi
WW91,6/11/16,8:30:00 AM,Grab,Water,0.5,"Salinity, (ppt) - 00480",16,ppt,,0.4,ppt,0.4,ppt,URIWW,,,,,,,NR 04 - Lower Pond B,PE,C. Wood,
WW91,6/11/16,8:30:00 AM,Grab,Water,3,"Salinity, (ppt) - 00480",19,ppt,,0.4,ppt,0.4,ppt,URIWW,,,,,,,NR 04 - Lower Pond B,PE,C. Wood,
WW91,7/23/16,8:00:00 AM,Grab,Water,0.5,"Salinity, (ppt) - 00480",19,ppt,,0.4,ppt,0.4,ppt,URIWW,,,,,,State of tide: Ebb,NR 04 - Lower Pond B,PE,C. Wood,
WW91,7/23/16,8:00:00 AM,Grab,Water,3,"Salinity, (ppt) - 00480",20,ppt,,0.4,ppt,0.4,ppt,URIWW,,,,,,State of tide: Ebb,NR 04 - Lower Pond B,PE,C. Wood,
WW91,8/6/16,8:30:00 AM,Grab,Water,0.5,"Salinity, (ppt) - 00480",20,ppt,,0.4,ppt,0.4,ppt,URIWW,,,,,,,NR 04 - Lower Pond B,PE,Carol Sarubbi,
WW91,8/6/16,8:30:00 AM,Grab,Water,3,"Salinity, (ppt) - 00480",20,ppt,,0.4,ppt,0.4,ppt,URIWW,,,,,,,NR 04 - Lower Pond B,PE,Carol Sarubbi,
WW91,8/21/16,9:30:00 AM,Grab,Water,0.5,"Salinity, (ppt) - 00480",21,ppt,,0.4,ppt,0.4,ppt,URIWW,,,,,,,NR 04 - Lower Pond B,PE,Carol Sarubbi,Felix Sarubbi
WW91,8/21/16,9:30:00 AM,Grab,Water,3,"Salinity, (ppt) - 00480",22.5,ppt,,0.4,ppt,0.4,ppt,URIWW,,,,,,,NR 04 - Lower Pond B,PE,Carol Sarubbi,Felix Sarubbi
WW91,8/27/16,9:00:00 AM,Grab,Water,0.5,"Salinity, (ppt) - 00480",22.5,ppt,,0.4,ppt,0.4,ppt,URIWW,,,,,,,NR 04 - Lower Pond B,PE,Carol Sarubbi,Felix Sarubbi
WW91,8/27/16,9:00:00 AM,Grab,Water,3,"Salinity, (ppt) - 00480",23.5,ppt,,0.4,ppt,0.4,ppt,URIWW,,,,,,,NR 04 - Lower Pond B,PE,Carol Sarubbi,Felix Sarubbi
WW91,9/10/16,9:00:00 AM,Grab,Water,0.5,"Salinity, (ppt) - 00480",21.5,ppt,,0.4,ppt,0.4,ppt,URIWW,,,,,,State of tide: Ebb,NR 04 - Lower Pond B,PE,C. Wood,
WW91,9/10/16,9:00:00 AM,Grab,Water,3,"Salinity, (ppt) - 00480",22,ppt,,0.4,ppt,0.4,ppt,URIWW,,,,,,State of tide: Ebb,NR 04 - Lower Pond B,PE,C. Wood,
WW91,9/24/16,9:00:00 AM,Grab,Water,0.5,"Salinity, (ppt) - 00480",22.5,ppt,,0.4,ppt,0.4,ppt,URIWW,,,,,,,NR 04 - Lower Pond B,PE,Carol Sarubbi,Felix Sarubbi
WW91,9/24/16,9:00:00 AM,Grab,Water,3,"Salinity, (ppt) - 00480",22.5,ppt,,0.4,ppt,0.4,ppt,URIWW,,,,,,,NR 04 - Lower Pond B,PE,Carol Sarubbi,Felix Sarubbi
WW91,10/8/16,10:15:00 AM,Grab,Water,0.5,"Salinity, (ppt) - 00480",23.5,ppt,,0.4,ppt,0.4,ppt,URIWW,,,,,,State of tide: Low,NR 04 - Lower Pond B,PE,C. Wood,
WW91,10/8/16,10:15:00 AM,Grab,Water,3,"Salinity, (ppt) - 00480",23,ppt,,0.4,ppt,0.4,ppt,URIWW,,,,,,State of tide: Low,NR 04 - Lower Pond B,PE,C. Wood,
WW91,10/22/16,10:30:00 AM,Grab,Water,0.5,"Salinity, (ppt) - 00480",25,ppt,,0.4,ppt,0.4,ppt,URIWW,,,,,,,NR 04 - Lower Pond B,PE,Carol Sarubbi,
WW91,10/22/16,10:30:00 AM,Grab,Water,3,"Salinity, (ppt) - 00480",25,ppt,,0.4,ppt,0.4,ppt,URIWW,,,,,,,NR 04 - Lower Pond B,PE,Carol Sarubbi,
