OBJECTID,Station_Name,Depth,Parameter,Concentration,Unit,Monitoring_Location,Date_of_Sample
39,WW03,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",7.7,ug/l,,2018/07/09 00:00:00+00
40,WW03,,"Depth to bottom from water surface at sampling location, meters - 82903",2.05,,,2018/07/09 00:00:00+00
41,WW03,,Secchi Depth - 00069,1.64,,,2018/07/09 00:00:00+00
42,WW03,0.1,Temperature - 00011,27.6,C,,2018/07/09 00:00:00+00
43,WW03,1,Temperature - 00011,25.8,C,,2018/07/09 00:00:00+00
44,WW03,1,Alkalinity - 00410,20.94,mg/l,,2018/07/14 00:00:00+00
45,WW03,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",10.6,ug/l,,2018/07/14 00:00:00+00
46,WW03,,"Depth to bottom from water surface at sampling location, meters - 82903",2.1,,,2018/07/14 00:00:00+00
47,WW03,0.5,Enterococci - 31639,0.1,MPN/100ml,,2018/07/14 00:00:00+00
48,WW03,0.5,Enterococci - 31639,0.1,MPN/100ml,,2018/07/14 00:00:00+00
49,WW03,1,"Nitrate + Nitrite, Dissolved - 00631",0.0075,mg/l,,2018/07/14 00:00:00+00
50,WW03,0.5,"Nitrogen, Ammonia Dissolved as N - 00608",0.02,ug/l,,2018/07/14 00:00:00+00
51,WW03,0.5,"Nitrogen, Total (unfiltered) - 00600",0.455,ug/l,,2018/07/14 00:00:00+00
52,WW03,1,pH - 00400,6.97,S.U.,,2018/07/14 00:00:00+00
53,WW03,1,"Phosphorus, Dissolved - 00666",6,ug/l,,2018/07/14 00:00:00+00
54,WW03,1,"Phosphorus, Total - 00665",20,ug/l,,2018/07/14 00:00:00+00
55,WW03,,Secchi Depth - 00069,2.1,,,2018/07/14 00:00:00+00
56,WW03,0.1,Temperature - 00011,25.7,C,,2018/07/14 00:00:00+00
57,WW03,1,Temperature - 00011,24.8,C,,2018/07/14 00:00:00+00
58,WW03,1,Alkalinity - 00410,20.55,mg/l,,2018/08/18 00:00:00+00
59,WW03,0.5,Chloride - 00940,36,mg/l,,2018/08/18 00:00:00+00
60,WW03,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",3.8,ug/l,,2018/08/18 00:00:00+00
61,WW03,,"Depth to bottom from water surface at sampling location, meters - 82903",2.25,,,2018/08/18 00:00:00+00
62,WW03,0.5,Enterococci - 31639,0.1,MPN/100ml,,2018/08/18 00:00:00+00
63,WW03,1,"Nitrate + Nitrite, Dissolved - 00631",0.0075,mg/l,,2018/08/18 00:00:00+00
64,WW03,1,"Nitrogen, Ammonia Dissolved as N - 00608",0.03,ug/l,,2018/08/18 00:00:00+00
65,WW03,1,"Nitrogen, Total (unfiltered) - 00600",0.375,ug/l,,2018/08/18 00:00:00+00
66,WW03,1,pH - 00400,6.84,S.U.,,2018/08/18 00:00:00+00
67,WW03,1,"Phosphorus, Dissolved - 00666",6,ug/l,,2018/08/18 00:00:00+00
68,WW03,1,"Phosphorus, Total - 00665",15,ug/l,,2018/08/18 00:00:00+00
69,WW03,,Secchi Depth - 00069,2.25,,,2018/08/18 00:00:00+00
70,WW03,0.1,Temperature - 00011,,C,,2018/08/18 00:00:00+00
71,WW03,,"Depth to bottom from water surface at sampling location, meters - 82903",2.3,,,2018/09/08 00:00:00+00
72,WW03,,Secchi Depth - 00069,1.67,,,2018/09/08 00:00:00+00
73,WW03,0.1,Temperature - 00011,22.8,C,,2018/09/08 00:00:00+00
74,WW03,1,Temperature - 00011,22.7,C,,2018/09/08 00:00:00+00
75,WW03,,"Depth to bottom from water surface at sampling location, meters - 82903",2.3,,,2018/09/16 00:00:00+00
76,WW03,,Secchi Depth - 00069,2.3,,,2018/09/16 00:00:00+00
77,WW03,0.1,Temperature - 00011,26.6,C,,2018/09/16 00:00:00+00
78,WW03,1,Temperature - 00011,21.5,C,,2018/09/16 00:00:00+00
79,WW03,,"Depth to bottom from water surface at sampling location, meters - 82903",2.2,,,2018/09/30 00:00:00+00
80,WW03,,Secchi Depth - 00069,2.2,,,2018/09/30 00:00:00+00
81,WW03,0.1,Temperature - 00011,20.7,C,,2018/09/30 00:00:00+00
82,WW03,1,Temperature - 00011,18.2,C,,2018/09/30 00:00:00+00
83,WW105,0.2,Chloride - 00940,37,mg/l,,2018/05/04 00:00:00+00
84,WW105,0.2,Enterococci - 31639,31.8,MPN/100ml,,2018/05/04 00:00:00+00
85,WW105,0.2,Enterococci - 31639,35,MPN/100ml,,2018/05/04 00:00:00+00
86,WW105,0.2,"Nitrate + Nitrite, Dissolved - 00631",0.92,mg/l,,2018/05/04 00:00:00+00
87,WW105,0.2,"Nitrogen, Ammonia Dissolved as N - 00608",0.035,ug/l,,2018/05/04 00:00:00+00
88,WW105,0.2,"Nitrogen, Total (unfiltered) - 00600",1.225,ug/l,,2018/05/04 00:00:00+00
89,WW105,0.2,pH - 00400,7.03,S.U.,,2018/05/04 00:00:00+00
90,WW105,0.2,pH - 00400,7.05,S.U.,,2018/05/04 00:00:00+00
91,WW105,0.2,"Phosphorus, Dissolved - 00666",31,ug/l,,2018/05/04 00:00:00+00
92,WW105,0.2,"Phosphorus, Total - 00665",51,ug/l,,2018/05/04 00:00:00+00
93,WW105,0.2,Chloride - 00940,41,mg/l,,2018/06/08 00:00:00+00
94,WW105,0.2,Enterococci - 31639,298.7,MPN/100ml,,2018/06/08 00:00:00+00
95,WW105,0.2,"Nitrate + Nitrite, Dissolved - 00631",1.535,mg/l,,2018/06/08 00:00:00+00
96,WW105,0.2,"Nitrogen, Ammonia Dissolved as N - 00608",0.06,ug/l,,2018/06/08 00:00:00+00
97,WW105,0.2,"Nitrogen, Total (unfiltered) - 00600",1.845,ug/l,,2018/06/08 00:00:00+00
98,WW105,0.2,pH - 00400,6.6,S.U.,,2018/06/08 00:00:00+00
99,WW105,0.2,"Phosphorus, Dissolved - 00666",33,ug/l,,2018/06/08 00:00:00+00
100,WW105,0.2,"Phosphorus, Total - 00665",39,ug/l,,2018/06/08 00:00:00+00
101,WW105,0.2,Enterococci - 31639,193.5,MPN/100ml,,2018/07/12 00:00:00+00
102,WW105,0.2,"Nitrate + Nitrite, Dissolved - 00631",1.89,mg/l,,2018/07/12 00:00:00+00
103,WW105,0.2,"Nitrogen, Ammonia Dissolved as N - 00608",0.05,ug/l,,2018/07/12 00:00:00+00
104,WW105,0.2,"Nitrogen, Total (unfiltered) - 00600",2.12,ug/l,,2018/07/12 00:00:00+00
105,WW105,0.2,pH - 00400,7.39,S.U.,,2018/07/12 00:00:00+00
106,WW105,0.2,"Phosphorus, Dissolved - 00666",42,ug/l,,2018/07/12 00:00:00+00
107,WW105,0.2,"Phosphorus, Total - 00665",56,ug/l,,2018/07/12 00:00:00+00
108,WW105,0.2,Chloride - 00940,43,mg/l,,2018/08/17 00:00:00+00
109,WW105,0.2,Enterococci - 31639,138.2,MPN/100ml,,2018/08/17 00:00:00+00
110,WW105,0.2,"Nitrate + Nitrite, Dissolved - 00631",1.4,mg/l,,2018/08/17 00:00:00+00
111,WW105,0.2,"Nitrogen, Ammonia Dissolved as N - 00608",0.035,ug/l,,2018/08/17 00:00:00+00
112,WW105,0.2,"Nitrogen, Total (unfiltered) - 00600",1.61,ug/l,,2018/08/17 00:00:00+00
113,WW105,0.2,pH - 00400,7.07,S.U.,,2018/08/17 00:00:00+00
114,WW105,0.2,"Phosphorus, Dissolved - 00666",43,ug/l,,2018/08/17 00:00:00+00
115,WW105,0.2,"Phosphorus, Total - 00665",53,ug/l,,2018/08/17 00:00:00+00
116,WW105,0.2,Enterococci - 31639,264,MPN/100ml,,2018/09/16 00:00:00+00
117,WW105,0.2,"Nitrate + Nitrite, Dissolved - 00631",1.315,mg/l,,2018/09/16 00:00:00+00
118,WW105,0.2,"Nitrogen, Ammonia Dissolved as N - 00608",0.035,ug/l,,2018/09/16 00:00:00+00
119,WW105,0.2,"Nitrogen, Total (unfiltered) - 00600",1.505,ug/l,,2018/09/16 00:00:00+00
120,WW105,0.2,pH - 00400,7.08,S.U.,,2018/09/16 00:00:00+00
121,WW105,0.2,"Phosphorus, Dissolved - 00666",28,ug/l,,2018/09/16 00:00:00+00
122,WW105,0.2,"Phosphorus, Total - 00665",40,ug/l,,2018/09/16 00:00:00+00
123,WW105,0.2,Chloride - 00940,38,mg/l,,2018/10/18 00:00:00+00
124,WW105,0.2,Enterococci - 31639,46.2,MPN/100ml,,2018/10/18 00:00:00+00
125,WW105,0.2,"Nitrate + Nitrite, Dissolved - 00631",1.23,mg/l,,2018/10/18 00:00:00+00
126,WW105,0.2,"Nitrogen, Ammonia Dissolved as N - 00608",0.04,ug/l,,2018/10/18 00:00:00+00
127,WW105,0.2,"Nitrogen, Total (unfiltered) - 00600",1.22,ug/l,,2018/10/18 00:00:00+00
128,WW105,0.2,pH - 00400,6.9,S.U.,,2018/10/18 00:00:00+00
129,WW105,0.2,"Phosphorus, Dissolved - 00666",26,ug/l,,2018/10/18 00:00:00+00
130,WW105,0.2,"Phosphorus, Total - 00665",27,ug/l,,2018/10/18 00:00:00+00
131,WW117,0.2,Enterococci - 31639,124.6,MPN/100ml,,2018/07/13 00:00:00+00
132,WW117,0.2,"Nitrate + Nitrite, Dissolved - 00631",2.28,mg/l,,2018/07/13 00:00:00+00
133,WW117,0.2,"Nitrogen, Ammonia Dissolved as N - 00608",0.05,ug/l,,2018/07/13 00:00:00+00
134,WW117,0.2,"Nitrogen, Total (unfiltered) - 00600",2.45,ug/l,,2018/07/13 00:00:00+00
135,WW117,0.2,pH - 00400,6.74,S.U.,,2018/07/13 00:00:00+00
136,WW117,0.2,"Phosphorus, Dissolved - 00666",13,ug/l,,2018/07/13 00:00:00+00
137,WW117,0.2,"Phosphorus, Total - 00665",26,ug/l,,2018/07/13 00:00:00+00
138,WW117,0.2,Chloride - 00940,24,mg/l,,2018/10/18 00:00:00+00
139,WW117,0.2,Enterococci - 31639,19.4,MPN/100ml,,2018/10/18 00:00:00+00
140,WW117,0.2,"Nitrate + Nitrite, Dissolved - 00631",1.725,mg/l,,2018/10/18 00:00:00+00
141,WW117,0.2,"Nitrogen, Ammonia Dissolved as N - 00608",0.04,ug/l,,2018/10/18 00:00:00+00
142,WW117,0.2,"Nitrogen, Total (unfiltered) - 00600",2.07,ug/l,,2018/10/18 00:00:00+00
143,WW117,0.2,pH - 00400,6.59,S.U.,,2018/10/18 00:00:00+00
144,WW117,0.2,"Phosphorus, Dissolved - 00666",11,ug/l,,2018/10/18 00:00:00+00
145,WW117,0.2,"Phosphorus, Total - 00665",21,ug/l,,2018/10/18 00:00:00+00
146,WW118,0.2,Enterococci - 31639,41.1,MPN/100ml,,2018/07/13 00:00:00+00
147,WW118,0.2,"Nitrate + Nitrite, Dissolved - 00631",0.02,mg/l,,2018/07/13 00:00:00+00
148,WW118,0.2,"Nitrogen, Ammonia Dissolved as N - 00608",0.04,ug/l,,2018/07/13 00:00:00+00
149,WW118,0.2,"Nitrogen, Total (unfiltered) - 00600",0.6,ug/l,,2018/07/13 00:00:00+00
150,WW118,0.2,pH - 00400,6.38,S.U.,,2018/07/13 00:00:00+00
151,WW118,0.2,"Phosphorus, Dissolved - 00666",12,ug/l,,2018/07/13 00:00:00+00
152,WW118,0.2,"Phosphorus, Total - 00665",27,ug/l,,2018/07/13 00:00:00+00
153,WW118,0.2,Chloride - 00940,36,mg/l,,2018/10/18 00:00:00+00
154,WW118,0.2,Enterococci - 31639,19.6,MPN/100ml,,2018/10/18 00:00:00+00
155,WW118,0.2,"Nitrate + Nitrite, Dissolved - 00631",0.015,mg/l,,2018/10/18 00:00:00+00
156,WW118,0.2,"Nitrogen, Ammonia Dissolved as N - 00608",0.07,ug/l,,2018/10/18 00:00:00+00
157,WW118,0.2,"Nitrogen, Total (unfiltered) - 00600",0.75,ug/l,,2018/10/18 00:00:00+00
158,WW118,0.2,pH - 00400,6.14,S.U.,,2018/10/18 00:00:00+00
159,WW118,0.2,"Phosphorus, Dissolved - 00666",16,ug/l,,2018/10/18 00:00:00+00
160,WW118,0.2,"Phosphorus, Total - 00665",15,ug/l,,2018/10/18 00:00:00+00
161,WW190,0.5,Alkalinity - 00410,19.37,mg/l,,2018/05/03 00:00:00+00
162,WW190,0.5,Chloride - 00940,40,mg/l,,2018/05/03 00:00:00+00
163,WW190,0.5,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",1.4,ug/l,,2018/05/03 00:00:00+00
164,WW190,0.5,Enterococci - 31639,1,MPN/100ml,,2018/05/03 00:00:00+00
165,WW190,0.5,"Nitrate + Nitrite, Dissolved - 00631",0.435,mg/l,,2018/05/03 00:00:00+00
166,WW190,0.5,"Nitrogen, Ammonia Dissolved as N - 00608",0.05,ug/l,,2018/05/03 00:00:00+00
167,WW190,0.5,"Nitrogen, Total (unfiltered) - 00600",0.8,ug/l,,2018/05/03 00:00:00+00
168,WW190,0.5,pH - 00400,7.16,S.U.,,2018/05/03 00:00:00+00
169,WW190,0.5,"Phosphorus, Dissolved - 00666",9,ug/l,,2018/05/03 00:00:00+00
170,WW190,0.5,"Phosphorus, Total - 00665",6,ug/l,,2018/05/03 00:00:00+00
171,WW190,0.5,Temperature - 00011,23.3,C,,2018/05/03 00:00:00+00
172,WW190,0.5,Chloride - 00940,41,mg/l,,2018/06/14 00:00:00+00
173,WW190,0.5,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",1.8,ug/l,,2018/06/14 00:00:00+00
174,WW190,0.5,Enterococci - 31639,4,MPN/100ml,,2018/06/14 00:00:00+00
175,WW190,0.5,"Nitrate + Nitrite, Dissolved - 00631",0.31,mg/l,,2018/06/14 00:00:00+00
176,WW190,0.5,"Nitrogen, Ammonia Dissolved as N - 00608",0.04,ug/l,,2018/06/14 00:00:00+00
177,WW190,0.5,"Nitrogen, Total (unfiltered) - 00600",0.595,ug/l,,2018/06/14 00:00:00+00
178,WW190,0.5,pH - 00400,7.41,S.U.,,2018/06/14 00:00:00+00
179,WW190,0.5,"Phosphorus, Dissolved - 00666",19,ug/l,,2018/06/14 00:00:00+00
180,WW190,0.5,"Phosphorus, Total - 00665",19,ug/l,,2018/06/14 00:00:00+00
181,WW190,0.5,Temperature - 00011,24.7,C,,2018/06/14 00:00:00+00
182,WW190,0.5,Alkalinity - 00410,23.14,mg/l,,2018/07/14 00:00:00+00
183,WW190,0.5,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",1.3,ug/l,,2018/07/14 00:00:00+00
184,WW190,0.5,Enterococci - 31639,7.3,MPN/100ml,,2018/07/14 00:00:00+00
185,WW190,0.5,"Nitrate + Nitrite, Dissolved - 00631",0.13,mg/l,,2018/07/14 00:00:00+00
186,WW190,0.5,"Nitrogen, Ammonia Dissolved as N - 00608",0.025,ug/l,,2018/07/14 00:00:00+00
187,WW190,0.5,"Nitrogen, Total (unfiltered) - 00600",0.455,ug/l,,2018/07/14 00:00:00+00
188,WW190,0.5,pH - 00400,6.76,S.U.,,2018/07/14 00:00:00+00
189,WW190,0.5,"Phosphorus, Dissolved - 00666",14,ug/l,,2018/07/14 00:00:00+00
190,WW190,0.5,"Phosphorus, Total - 00665",22,ug/l,,2018/07/14 00:00:00+00
191,WW190,0.5,Temperature - 00011,23.5,C,,2018/07/14 00:00:00+00
192,WW190,0.5,Alkalinity - 00410,22.19,mg/l,,2018/08/17 00:00:00+00
193,WW190,0.5,Chloride - 00940,34,mg/l,,2018/08/17 00:00:00+00
194,WW190,0.5,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",1.5,ug/l,,2018/08/17 00:00:00+00
195,WW190,0.5,Enterococci - 31639,48,MPN/100ml,,2018/08/17 00:00:00+00
196,WW190,0.5,"Nitrate + Nitrite, Dissolved - 00631",0.11,mg/l,,2018/08/17 00:00:00+00
197,WW190,0.5,"Nitrogen, Ammonia Dissolved as N - 00608",0.03,ug/l,,2018/08/17 00:00:00+00
198,WW190,0.5,"Nitrogen, Total (unfiltered) - 00600",0.465,ug/l,,2018/08/17 00:00:00+00
199,WW190,0.5,pH - 00400,6.7,S.U.,,2018/08/17 00:00:00+00
200,WW190,0.5,"Phosphorus, Dissolved - 00666",11,ug/l,,2018/08/17 00:00:00+00
201,WW190,0.5,"Phosphorus, Total - 00665",20,ug/l,,2018/08/17 00:00:00+00
202,WW190,0.5,Temperature - 00011,27.2,C,,2018/08/17 00:00:00+00
203,WW190,0.5,Alkalinity - 00410,20.77,mg/l,,2018/09/14 00:00:00+00
204,WW190,0.5,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",0.6,ug/l,,2018/09/14 00:00:00+00
205,WW190,0.5,Enterococci - 31639,72.4,MPN/100ml,,2018/09/14 00:00:00+00
206,WW190,0.5,"Nitrate + Nitrite, Dissolved - 00631",0.08,mg/l,,2018/09/14 00:00:00+00
207,WW190,0.5,"Nitrogen, Ammonia Dissolved as N - 00608",0.015,ug/l,,2018/09/14 00:00:00+00
208,WW190,0.5,"Nitrogen, Total (unfiltered) - 00600",0.42,ug/l,,2018/09/14 00:00:00+00
209,WW190,0.5,pH - 00400,6.61,S.U.,,2018/09/14 00:00:00+00
210,WW190,0.5,"Phosphorus, Dissolved - 00666",10,ug/l,,2018/09/14 00:00:00+00
211,WW190,0.5,"Phosphorus, Total - 00665",20,ug/l,,2018/09/14 00:00:00+00
212,WW190,0.5,Temperature - 00011,22.4,C,,2018/09/14 00:00:00+00
213,WW190,0.5,Alkalinity - 00410,18.32,mg/l,,2018/10/19 00:00:00+00
214,WW190,0.5,Chloride - 00940,36,mg/l,,2018/10/19 00:00:00+00
215,WW190,0.5,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",0.6,ug/l,,2018/10/19 00:00:00+00
216,WW190,0.5,Enterococci - 31639,3.1,MPN/100ml,,2018/10/19 00:00:00+00
217,WW190,0.5,"Nitrate + Nitrite, Dissolved - 00631",0.2,mg/l,,2018/10/19 00:00:00+00
218,WW190,0.5,"Nitrogen, Ammonia Dissolved as N - 00608",0.025,ug/l,,2018/10/19 00:00:00+00
219,WW190,0.5,"Nitrogen, Total (unfiltered) - 00600",0.545,ug/l,,2018/10/19 00:00:00+00
220,WW190,0.5,pH - 00400,6.86,S.U.,,2018/10/19 00:00:00+00
221,WW190,0.5,"Phosphorus, Dissolved - 00666",9,ug/l,,2018/10/19 00:00:00+00
222,WW190,0.5,"Phosphorus, Total - 00665",13,ug/l,,2018/10/19 00:00:00+00
223,WW190,0.5,Temperature - 00011,11.6,C,,2018/10/19 00:00:00+00
224,WW42,1,Alkalinity - 00410,21.221,mg/l,,2018/05/03 00:00:00+00
225,WW42,1,Chloride - 00940,30,mg/l,,2018/05/03 00:00:00+00
226,WW42,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",3,ug/l,,2018/05/03 00:00:00+00
227,WW42,,"Depth to bottom from water surface at sampling location, meters - 82903",2.1,,,2018/05/03 00:00:00+00
228,WW42,0.5,Enterococci - 31639,1,MPN/100ml,,2018/05/03 00:00:00+00
229,WW42,1,"Nitrate + Nitrite, Dissolved - 00631",0.7525,mg/l,,2018/05/03 00:00:00+00
230,WW42,1,"Nitrogen, Ammonia Dissolved as N - 00608",0.035,ug/l,,2018/05/03 00:00:00+00
231,WW42,1,"Nitrogen, Total (unfiltered) - 00600",1.1,ug/l,,2018/05/03 00:00:00+00
232,WW42,1,pH - 00400,6.92,S.U.,,2018/05/03 00:00:00+00
233,WW42,1,"Phosphorus, Dissolved - 00666",5.666666667,ug/l,,2018/05/03 00:00:00+00
234,WW42,1,"Phosphorus, Total - 00665",6,ug/l,,2018/05/03 00:00:00+00
235,WW42,,Secchi Depth - 00069,2.1,,,2018/05/03 00:00:00+00
236,WW42,0.1,Temperature - 00011,18.3,C,,2018/05/03 00:00:00+00
237,WW42,1,Temperature - 00011,18.3,C,,2018/05/03 00:00:00+00
238,WW42,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",1.3,ug/l,,2018/06/02 00:00:00+00
239,WW42,,"Depth to bottom from water surface at sampling location, meters - 82903",2,,,2018/06/02 00:00:00+00
240,WW42,,Secchi Depth - 00069,2,,,2018/06/02 00:00:00+00
241,WW42,0.1,Temperature - 00011,23.5,C,,2018/06/02 00:00:00+00
242,WW42,1,Temperature - 00011,23,C,,2018/06/02 00:00:00+00
243,WW42,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",1.7,ug/l,,2018/06/16 00:00:00+00
244,WW42,,"Depth to bottom from water surface at sampling location, meters - 82903",2,,,2018/06/16 00:00:00+00
245,WW42,,Secchi Depth - 00069,2,,,2018/06/16 00:00:00+00
246,WW42,0.1,Temperature - 00011,22.8,C,,2018/06/16 00:00:00+00
247,WW42,1,Temperature - 00011,22.5,C,,2018/06/16 00:00:00+00
248,WW42,1,Alkalinity - 00410,26.58,mg/l,,2018/07/13 00:00:00+00
249,WW42,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",1.8,ug/l,,2018/07/13 00:00:00+00
250,WW42,,"Depth to bottom from water surface at sampling location, meters - 82903",2,,,2018/07/13 00:00:00+00
251,WW42,0.5,Enterococci - 31639,0.1,MPN/100ml,,2018/07/13 00:00:00+00
252,WW42,1,"Nitrate + Nitrite, Dissolved - 00631",0.345,mg/l,,2018/07/13 00:00:00+00
253,WW42,1,"Nitrogen, Ammonia Dissolved as N - 00608",0.05,ug/l,,2018/07/13 00:00:00+00
254,WW42,1,"Nitrogen, Total (unfiltered) - 00600",0.755,ug/l,,2018/07/13 00:00:00+00
255,WW42,1,pH - 00400,7.2,S.U.,,2018/07/13 00:00:00+00
256,WW42,1,"Phosphorus, Dissolved - 00666",11,ug/l,,2018/07/13 00:00:00+00
257,WW42,1,"Phosphorus, Total - 00665",16,ug/l,,2018/07/13 00:00:00+00
258,WW42,,Secchi Depth - 00069,2,,,2018/07/13 00:00:00+00
259,WW42,0.1,Temperature - 00011,25.8,C,,2018/07/13 00:00:00+00
260,WW42,1,Temperature - 00011,25.5,C,,2018/07/13 00:00:00+00
261,WW42,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",1.5,ug/l,,2018/07/28 00:00:00+00
262,WW42,,"Depth to bottom from water surface at sampling location, meters - 82903",2,,,2018/07/28 00:00:00+00
263,WW42,,Secchi Depth - 00069,2,,,2018/07/28 00:00:00+00
264,WW42,0.1,Temperature - 00011,28.5,C,,2018/07/28 00:00:00+00
265,WW42,1,Temperature - 00011,28.5,C,,2018/07/28 00:00:00+00
266,WW42,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",1.3,ug/l,,2018/08/25 00:00:00+00
267,WW42,,"Depth to bottom from water surface at sampling location, meters - 82903",2.5,,,2018/08/25 00:00:00+00
268,WW42,,Secchi Depth - 00069,2.5,,,2018/08/25 00:00:00+00
269,WW42,0.1,Temperature - 00011,23.9,C,,2018/08/25 00:00:00+00
270,WW42,1,Temperature - 00011,23.6,C,,2018/08/25 00:00:00+00
271,WW42,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",1,ug/l,,2018/09/14 00:00:00+00
272,WW42,,"Depth to bottom from water surface at sampling location, meters - 82903",2.5,,,2018/09/14 00:00:00+00
273,WW42,,Secchi Depth - 00069,2.5,,,2018/09/14 00:00:00+00
274,WW42,0.1,Temperature - 00011,22,C,,2018/09/14 00:00:00+00
275,WW42,1,Temperature - 00011,21.8,C,,2018/09/14 00:00:00+00
276,WW42,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",0.8,ug/l,,2018/10/06 00:00:00+00
277,WW42,,"Depth to bottom from water surface at sampling location, meters - 82903",2.5,,,2018/10/06 00:00:00+00
278,WW42,,Secchi Depth - 00069,2.5,,,2018/10/06 00:00:00+00
279,WW42,0.1,Temperature - 00011,17.8,C,,2018/10/06 00:00:00+00
280,WW42,1,Temperature - 00011,17.8,C,,2018/10/06 00:00:00+00
