Station Name,Date,Time,Sample Type,Sample Media,Depth,Parameter,Concentration,Unit,Qualifier Code,Detection Limit,Detection Limit Unit,Quantitation Level,Quantitation Level Unit,Lab Name,Analytical Method Number,Sediment Particle Size,Particle Size Unit,Fish Sample Type,Fish Taxa,Comments,Location,Watershed Code,Monitor 1,Monitor 2
WW91,5/29/16,10:45:00 AM,Grab,Water,3,Temperature - 00011,19,C,,-35,C,-35,C,URIWW,2550: Temperature of Water by Thermometer,,,NR 04 - Lower Pond B,PE,Carol Sarubbi,Felix Sarubbi,,,
WW91,6/11/16,8:30:00 AM,Grab,Water,0.5,Temperature - 00011,22,C,,-35,C,-35,C,URIWW,2550: Temperature of Water by Thermometer,,,NR 04 - Lower Pond B,PE,C. Wood,,,,
WW91,6/11/16,8:30:00 AM,Grab,Water,3,Temperature - 00011,22,C,,-35,C,-35,C,URIWW,2550: Temperature of Water by Thermometer,,,NR 04 - Lower Pond B,PE,C. Wood,,,,
WW91,6/25/16,10:15:00 AM,Grab,Water,0.5,Temperature - 00011,25,C,,-35,C,-35,C,URIWW,2550: Temperature of Water by Thermometer,,,NR 04 - Lower Pond B,PE,C. Wood,,,,
WW91,6/25/16,10:15:00 AM,Grab,Water,3,Temperature - 00011,23,C,,-35,C,-35,C,URIWW,2550: Temperature of Water by Thermometer,,,NR 04 - Lower Pond B,PE,C. Wood,,,,
WW91,7/23/16,8:00:00 AM,Grab,Water,0.5,Temperature - 00011,27,C,,-35,C,-35,C,URIWW,2550: Temperature of Water by Thermometer,,State of tide: Ebb,NR 04 - Lower Pond B,PE,C. Wood,,,,
WW91,7/23/16,8:00:00 AM,Grab,Water,3,Temperature - 00011,26,C,,-35,C,-35,C,URIWW,2550: Temperature of Water by Thermometer,,State of tide: Ebb,NR 04 - Lower Pond B,PE,C. Wood,,,,
WW91,8/6/16,8:30:00 AM,Grab,Water,0.5,Temperature - 00011,27,C,,-35,C,-35,C,URIWW,2550: Temperature of Water by Thermometer,,,NR 04 - Lower Pond B,PE,Carol Sarubbi,,,,
WW91,8/6/16,8:30:00 AM,Grab,Water,3,Temperature - 00011,26,C,,-35,C,-35,C,URIWW,2550: Temperature of Water by Thermometer,,,NR 04 - Lower Pond B,PE,Carol Sarubbi,,,,
WW91,9/10/16,9:00:00 AM,Grab,Water,0.5,Temperature - 00011,25,C,,-35,C,-35,C,URIWW,2550: Temperature of Water by Thermometer,,State of tide: Ebb,NR 04 - Lower Pond B,PE,C. Wood,,,,
WW91,9/10/16,9:00:00 AM,Grab,Water,3,Temperature - 00011,23,C,,-35,C,-35,C,URIWW,2550: Temperature of Water by Thermometer,,State of tide: Ebb,NR 04 - Lower Pond B,PE,C. Wood,,,,
WW91,9/24/16,9:00:00 AM,Grab,Water,0.5,Temperature - 00011,22,C,,-35,C,-35,C,URIWW,2550: Temperature of Water by Thermometer,,,NR 04 - Lower Pond B,PE,Carol Sarubbi,Felix Sarubbi,,,
WW91,9/24/16,9:00:00 AM,Grab,Water,3,Temperature - 00011,21,C,,-35,C,-35,C,URIWW,2550: Temperature of Water by Thermometer,,,NR 04 - Lower Pond B,PE,Carol Sarubbi,Felix Sarubbi,,,
WW91,10/8/16,10:15:00 AM,Grab,Water,0.5,Temperature - 00011,18,C,,-35,C,-35,C,URIWW,2550: Temperature of Water by Thermometer,,State of tide: Low,NR 04 - Lower Pond B,PE,C. Wood,,,,
WW91,10/8/16,10:15:00 AM,Grab,Water,3,Temperature - 00011,18,C,,-35,C,-35,C,URIWW,2550: Temperature of Water by Thermometer,,State of tide: Low,NR 04 - Lower Pond B,PE,C. Wood,,,,
WW91,10/22/16,10:30:00 AM,Grab,Water,0.5,Temperature - 00011,18.5,C,,-35,C,-35,C,URIWW,2550: Temperature of Water by Thermometer,,,NR 04 - Lower Pond B,PE,Carol Sarubbi,,,,
WW91,10/22/16,10:30:00 AM,Grab,Water,3,Temperature - 00011,18,C,,-35,C,-35,C,URIWW,2550: Temperature of Water by Thermometer,,,NR 04 - Lower Pond B,PE,Carol Sarubbi,,,,
